year,dish,category,revenue,qty,orders
2025,Лосось слабой соли 50 г,ДОПЫ,80536.91349999995,146.5,115
2025,40 мл Домашняя лимончелло,ДОМАШНИЕ ДИДЖЕСТИВЫ,79437.668,229.0,78
2025,32 см/Пицца с беконом и маскарпоне,ПИЦЦА L,79313.57650000001,90.0,85
2025,Паштет с бриошью и вареньем из черной смородины,ЗАКУСКИ,78823.30500000001,148.0,129
2025,ДМ/Куриные нагетсы,ДЕТСКОЕ МЕНЮ,78089.908,275.0,208
2025,"Aranciata 0,3",БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,76967.05799999998,241.0,201
2025,Ростбиф с овощами гриль,МЯСО,76581.16649999999,19.0,18
2025,Д.Антипасти S,БАНКЕТЫ/ФУРШЕТЫ,76415.0,31.0,14
2025,750 мл Рислинг Клиффхэнгер. Германия. Мозаль,БЕЛОЕ ВИНО БУТЫЛКИ,76092.0,20.0,14
2025,Баноффи пай с шоколадной крошкой,ДЕСЕРТЫ,76030.84249999998,169.0,140
2025,32 см/Пицца «Маргарита»,ПИЦЦА L,74295.82250000002,119.0,109
2025,Вишня-апельсин500мл,ЧАЙНАЯ КАРТА,74133.6765,140.0,133
2025,Д.L.Ветчина и грибы,Д.ПИЦЦА L,72189.2505,77.0,73
2025,Тайга,ЧАЙНАЯ КАРТА,72095.33399999999,135.0,135
2025,Имбирный 500мл,ЧАЙНАЯ КАРТА,72092.5545,139.0,131
2025,Драник по-деревенски ,ЗАВТРАК,72033.41999999998,110.0,88
2025,Д.Куриный суп с домашней пастой +,Д.СУПЫ,70368.10000000006,195.0,169
2025,Д.Пеппер стейк с гратеном,Д.МЯСО,68403.75,44.0,34
2025,Д.Карбонара +,Д.ПАСТА,67238.40000000007,96.0,86
2025,Д.Цезарь антико с курицей +,Д.САЛАТЫ,67051.3999999999,120.0,109
2025,С фалангой Камчатского краба,ПАСТА,66952.936,43.0,34
2025,Греча с пармезаном и яйцом пашот,ЗАВТРАК,66586.29700000002,119.0,105
2025,"125 мл Аораки Хилс Мальборо Совиньон Блан, Новая Зеландия",БЕЛОЕ ВИНО БОКАЛЫ,65438.8735,96.0,47
2025,70 гр Оливки,ЗАКУСКИ,65025.79049999999,161.5,134
2025,Фокачча с песто,ХЛЕБ,64265.405999999966,203.0,175
2025,Д.Куриное филе с соусом из белых грибов и трюфеля +,Д.МЯСО,64124.0,82.0,75
2025,"Пиво Перони 0,33 бут.",ПИВО БУТЫЛОЧНОЕ,64063.581999999995,140.0,69
2025,32 см/Пицца «Алла Дьявола» ,ПИЦЦА L,63964.32749999999,70.0,67
2025,Д.Ассорти брускетт 1,БАНКЕТЫ/ФУРШЕТЫ,63495.0,29.0,14
2025,"Щавелевый дюшес 1,3",БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,63303.35049999999,65.0,51
2025,Д.Зелёный салат с томатами и авокадо +,Д.САЛАТЫ,63212.79999999993,83.0,74
2025,32 см/Пицца с грушей и горгонзолой,ПИЦЦА L,63153.20650000001,62.0,58
2025,Д.Запечённый ролл с креветкой +,Д.ПАНАЗИЯ,63008.79999999991,113.0,105
2025,Коктейль Aperol Спритц,КОКТЕЙЛИ,62936.788,90.0,42
2025,Тёплый римский сэндвич с моцареллой и ветчиной Cotto,ЗАВТРАК,62752.47399999998,164.0,137
2025,Авокадо тост с яйцом пашот и муссом из пармезана,ЗАВТРАК,62278.82849999998,110.0,103
2025,Д.Тальята из говядины с кремом  из пастернака +,Д.МЯСО,61057.19999999996,41.0,40
2025,Польпетте из ягненка с картофелем,МЯСО,60120.56800000001,74.0,66
2025,Д.Болоньезе +,Д.ПАСТА,59880.79999999992,74.0,73
2025,125 мл Рислинг Клиффхэнгер. Германия. Мозаль,БЕЛОЕ ВИНО БОКАЛЫ,59665.7075,90.0,48
2025,Целебные травы и ягоды,ЧАЙНАЯ КАРТА,59191.4925,111.5,105
2025,ДМ/Картофель фри,ДЕТСКОЕ МЕНЮ,59169.018499999984,250.0,188
2025,Жасминовый,ЧАЙНАЯ КАРТА,58966.54000000001,110.0,109
2025,Большой итальянский завтрак с креветками,ЗАВТРАК,58756.913,63.0,55
2025,Д.L.Четыре сыра,Д.ПИЦЦА L,58588.3495,54.0,47
2025,Эспрессо,КОФЕ,56602.06949999999,280.0,221
2025,Равиоли с щёками и печёным баклажаном,ПАСТА,56541.592,72.0,62
2025,Д.L.Маргарита,Д.ПИЦЦА L,56084.0115,86.0,66
2025,Флэт Уайт 180 мл,КОФЕ,55864.51599999999,197.0,162
2025,«Аль Помодоро»,ПАСТА,55585.069999999985,95.0,81
2025,Салат деревенский с олив. маслом,САЛАТЫ,55245.631,124.0,110
2025,Филадельфия с угрём,ПАНАЗИЯ,53963.58449999999,69.0,63
2025,32 см/Пицца с лососем и маскарпоне,ПИЦЦА L,53749.409999999996,46.0,44
2025,Вода «Красота»,БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,52756.644,260.0,159
2025,Д.Калифорния +,Д.ПАНАЗИЯ,52597.99999999995,65.0,63
2025,Д.Телячьи щёчки с трюфельным пюре,Д.МЯСО,51749.7,44.0,40
2025,Яичница по-неаполитански со страчателлой,ЗАВТРАК,51684.66649999999,93.0,85
2025,"Пиво Айнзидлер Вайсбир 0,5",ПИВО БУТЫЛОЧНОЕ,50295.01,102.0,46
2025,Ролл с хрустящим крабом,ПАНАЗИЯ,49792.030999999995,66.0,56
2025,Д.Греческий салат с нутом и фетой +,Д.САЛАТЫ,49572.0,81.0,79
2025,Д.Пеппер стейк с гратеном+,Д.МЯСО,48905.59999999997,31.0,29
2025,Д.Телячьи щёчки с трюфельным пюре +,Д.МЯСО,48511.19999999997,41.0,39
