year,category,revenue,qty,orders,AOV
2026,ЗАВТРАК,999003.8099999999,1762.66,1568.0,637.1197767857143
2026,ЧАЙНАЯ КАРТА,967162.2490000001,1809.5,1703.0,567.9167639459778
2026,ЗАКУСКИ,947802.1560000002,1557.5,1373.0,690.3147530954117
2026,БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,925475.5205000001,2366.2099999999996,1630.0,567.7763929447854
2026,КОФЕ,895939.1085,3214.0,2396.0,373.93118050918196
2026,Д.ПАНАЗИЯ,788036.7850000001,1228.0,1010.0,780.2344405940596
2026,Д.ПИЦЦА L,763903.6955000001,813.0,753.0,1014.4803393094292
2026,Д.ПАСТА,714569.4829999999,880.0,802.0,890.9843927680797
2026,РЫБА,676543.1265000001,695.0,596.0,1135.139473993289
2026,ПИЦЦА L,597321.2649999999,632.0,608.0,982.4362911184209
2026,Д.МЯСО,545681.4530000001,523.0,474.0,1151.2266940928273
2026,СУПЫ,515503.98799999995,966.0,862.0,598.0324686774942
2026,Д.САЛАТЫ,482901.898,689.0,626.0,771.4087827476038
2026,ДОПЫ,461467.51599999977,3127.8999999999996,2221.0,207.77465826204403
2026,ПАНАЗИЯ,447824.82050000003,741.0,611.0,732.9375130932898
2026,Д.ЗАВТРАКИ,444359.022,713.0,645.0,688.9287162790698
2026,Д.ДЕТСКОЕ МЕНЮ,396591.32549999986,1218.0,1007.0,393.8344841112213
2026,КОКТЕЙЛИ,379935.50749999995,670.0,465.0,817.0656075268816
2026,ГАРНИРЫ,335880.2114999999,927.0,796.0,421.9600646984924
2026,БАНКЕТЫ/ФУРШЕТЫ,325225.19800000003,201.3,87.0,3738.220666666667
2026,ДЕТСКОЕ МЕНЮ,295074.45699999994,979.5,875.0,337.2279508571428
2026,Д.ДЕСЕРТЫ,282485.8975,576.0,438.0,644.9449714611873
2026,ПИЦЦА S,281497.475,438.0,434.0,648.611693548387
2026,Д.СУПЫ,280201.0805000001,599.0,508.0,551.5769301181105
2026,БЕЛОЕ ВИНО БУТЫЛКИ,242306.49099999998,55.0,40.0,6057.662275
2026,Д.ЗАКУСКИ,231432.849,405.0,375.0,617.154264
2026,Д.СЕТЫ,215708.94549999997,127.0,120.0,1797.574545833333
2026,Д.РЫБА,211904.405,192.0,170.0,1246.4965
2026,Д.ПИЦЦА S,210274.66599999997,303.0,298.0,705.6196845637583
2026,ИГРИСТОЕ ВИНО БУТЫЛКИ,199994.2645,47.0,32.0,6249.820765625
2026,МОДИФИКАТОРЫ,193012.01600000006,1293.5,1115.0,173.10494708520184
2026,СПЕШЛ,187948.63400000005,359.66,314.0,598.5625286624205
2026,БЕЛОЕ ВИНО БОКАЛЫ,181269.82700000002,270.0,139.0,1304.099474820144
2026,ИГРИСТОЕ ВИНО БОКАЛЫ,169326.56199999998,255.0,126.0,1343.861603174603
2026,КРАСНОЕ ВИНО,158667.38350000003,30.0,24.0,6611.140979166667
2026,ПИВО БУТЫЛОЧНОЕ,157580.2505,328.5,182.0,865.8255521978022
2026,Д.ГАРНИРЫ,144437.3975,347.0,309.0,467.43494336569574
2026,Д.БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,134988.296,293.0,238.0,567.1777142857143
2026,КРАСНОЕ ВИНО ПО БОКАЛАМ,127044.05149999999,168.0,104.0,1221.5774182692307
2026,ХЛЕБ,110034.73550000001,412.0,387.0,284.3274819121447
2026,ВОДКА,76421.25599999998,183.41,27.0,2830.416888888888
2026,БРЕНДИ/КОНЬЯК,71434.0,87.5,11.0,6494.0
2026,ДОМАШНИЕ ДИДЖЕСТИВЫ,70391.832,172.0,71.0,991.4342535211267
2026,ВИСКИ,63346.0885,101.58,19.0,3334.0046578947367
2026,ЦЕЛЫЕ ТОРТЫ,48280.0,16.0,13.0,3713.846153846154
2026,Д.СПЕШЛ,36129.1905,83.0,71.0,508.86183802816896
2026,Б/А ВИНО ПО БОКАЛАМ,20628.446,34.0,19.0,1085.7076842105264
2026,ГРАППА,14262.932,35.0,8.0,1782.8665
2026,Д.ОБЕДЫ,13721.303500000002,10.0,10.0,1372.1303500000001
2026,Д.НАПИТКИ,13586.476499999999,30.0,30.0,452.88255
2026,ДЖИН,12546.0,25.0,3.0,4182.0
2026,ТЕКИЛА,10163.552,19.0,6.0,1693.9253333333334
2026,ПОРТВЕЙНЫ/ХЕРЕСЫ,8281.728500000001,13.0,8.0,1035.2160625000001
2026,РОМ,7777.5,20.0,8.0,972.1875
2026,Б/А ВИНО,7395.0,2.0,2.0,3697.5
2026,РОЗОВОЕ/ОРАНЖЕВОЕ ВИНО БОКАЛЫ,5244.5935,8.0,7.0,749.2276428571429
2026,ДЕСЕРТНОЕ ВИНО БОКАЛЫ,4207.5,5.0,3.0,1402.5
2026,ЛИКЁРЫ/БИТТЕРЫ,3981.4,13.0,9.0,442.3777777777778
2026,ВЕРМУТЫ,408.0,1.0,1.0,408.0
