check_id,date,year,revenue,items_count,qty_total,categories_count,avg_item_price
12592,2025-02-01,2025,1169.6,3,3.0,2,389.8666666666666
12596,2025-02-01,2025,2048.5,4,4.0,3,512.125
12597,2025-02-01,2025,3107.6,8,8.0,4,388.45
12599,2025-02-01,2025,3850.5,6,6.0,5,641.75
12600,2025-02-01,2025,1285.1999999999998,4,6.0,2,214.19999999999996
12602,2025-02-01,2025,1691.5,4,5.0,4,338.3
12603,2025-02-01,2025,2509.2,5,5.0,4,501.84
12604,2025-02-01,2025,2033.1999999999998,4,4.0,3,508.29999999999995
12605,2025-02-01,2025,1788.4,3,3.0,3,596.1333333333333
12606,2025-02-01,2025,2711.5,7,7.0,6,387.35714285714283
12609,2025-02-01,2025,1538.5,3,3.0,3,512.8333333333334
12610,2025-02-01,2025,3474.7999999999997,6,9.0,3,386.08888888888885
12611,2025-02-01,2025,3427.1999999999994,4,6.0,3,571.1999999999999
12614,2025-02-01,2025,360.4,1,1.0,1,360.4
12615,2025-02-01,2025,3984.8,5,7.0,4,569.2571428571429
12616,2025-02-01,2025,1810.5,4,5.0,2,362.1
12617,2025-02-01,2025,3107.6000000000004,3,4.0,3,776.9000000000001
12618,2025-02-01,2025,2407.2,2,3.0,2,802.4
12620,2025-02-01,2025,2420.8,4,4.0,4,605.2
12621,2025-02-01,2025,1169.6,2,2.0,2,584.8
12623,2025-02-01,2025,1604.8,2,2.0,2,802.4
12624,2025-02-01,2025,2033.2,3,4.0,2,508.3
12632,2025-02-01,2025,4343.5,6,8.0,5,542.9375
12637,2025-02-01,2025,2318.7999999999997,5,5.0,5,463.75999999999993
12641,2025-02-01,2025,809.1999999999999,2,2.0,2,404.59999999999997
12646,2025-02-01,2025,2261.0,5,6.0,2,376.8333333333333
12647,2025-02-01,2025,2380.0,3,3.0,2,793.3333333333334
12648,2025-02-01,2025,3495.1999999999994,6,10.0,4,349.5199999999999
12649,2025-02-01,2025,2006.0,3,4.0,3,501.5
12650,2025-02-01,2025,1795.1999999999998,3,3.0,3,598.4
12653,2025-02-01,2025,2862.7999999999997,5,9.0,2,318.08888888888885
12654,2025-02-01,2025,3757.0,6,7.0,4,536.7142857142857
12655,2025-02-01,2025,5752.8,11,12.0,6,479.40000000000003
12656,2025-02-01,2025,2448.0,2,4.0,2,612.0
12657,2025-02-01,2025,2516.0,5,5.0,4,503.2
12658,2025-02-01,2025,4039.2,7,10.0,6,403.91999999999996
12661,2025-02-01,2025,3644.7999999999997,5,5.0,3,728.9599999999999
12662,2025-02-01,2025,3519.0,5,5.0,3,703.8
12664,2025-02-01,2025,1067.6,1,1.0,1,1067.6
12665,2025-02-01,2025,2541.5,3,4.0,2,635.375
12666,2025-02-01,2025,1312.3999999999999,2,2.0,2,656.1999999999999
12667,2025-02-01,2025,2128.3999999999996,2,2.0,1,1064.1999999999998
12672,2025-02-01,2025,1366.8,4,4.0,4,341.7
31323,2025-02-01,2025,2890.0,7,8.0,4,361.25
31324,2025-02-01,2025,586.5,1,1.0,1,586.5
31326,2025-02-01,2025,1028.5,4,4.0,4,257.125
31328,2025-02-01,2025,1640.5,5,5.0,3,328.1
31331,2025-02-01,2025,4304.4,12,14.0,5,307.45714285714286
31334,2025-02-01,2025,3563.2,13,17.0,5,209.6
31335,2025-02-01,2025,3087.2,10,12.0,5,257.26666666666665
31336,2025-02-01,2025,1156.0,2,2.0,2,578.0
31338,2025-02-01,2025,2397.0,7,7.0,3,342.42857142857144
31340,2025-02-01,2025,1819.0,4,4.0,2,454.75
31343,2025-02-01,2025,3332.0,9,9.0,3,370.22222222222223
31344,2025-02-01,2025,3408.5,11,11.0,6,309.8636363636364
31345,2025-02-01,2025,1190.0,2,2.0,2,595.0
31348,2025-02-01,2025,1224.0,2,2.0,2,612.0
31351,2025-02-01,2025,2048.5,3,5.0,3,409.7
31354,2025-02-01,2025,2182.8,6,8.0,4,272.85
31356,2025-02-01,2025,1572.5,6,6.0,4,262.0833333333333
31361,2025-02-01,2025,1555.5,3,3.0,3,518.5
31365,2025-02-01,2025,3043.0,7,7.0,5,434.7142857142857
31367,2025-02-01,2025,2533.0,3,3.0,3,844.3333333333334
31369,2025-02-01,2025,1640.5,3,3.0,3,546.8333333333334
31371,2025-02-01,2025,1547.0,3,3.0,3,515.6666666666666
31372,2025-02-01,2025,3621.0,8,8.0,7,452.625
31375,2025-02-01,2025,1309.0,2,2.0,2,654.5
31376,2025-02-01,2025,297.5,1,1.0,1,297.5
31381,2025-02-01,2025,265.2,2,2.0,2,132.6
31383,2025-02-01,2025,1785.0,3,3.0,3,595.0
31384,2025-02-01,2025,2881.5,6,7.0,6,411.64285714285717
31388,2025-02-01,2025,4836.5,5,7.0,4,690.9285714285714
31390,2025-02-01,2025,6247.5,10,13.0,8,480.5769230769231
31392,2025-02-01,2025,14069.1065,17,26.0,13,541.1194807692308
31393,2025-02-01,2025,2941.0,6,6.0,5,490.1666666666667
31394,2025-02-01,2025,2388.5,4,6.0,4,398.0833333333333
31397,2025-02-01,2025,4131.0,11,12.0,9,344.25
31398,2025-02-01,2025,6808.5,9,12.0,6,567.375
31399,2025-02-01,2025,6579.0,13,13.0,10,506.0769230769231
31400,2025-02-01,2025,5317.6,19,21.0,10,253.21904761904764
